Relative particle diameter size
9
Aspect Ratio coordinates size
9
Particle Reynolds number coordinates size
14
Relative particle diameter coordinates (Particle diameter/Grid cell dimension parallel to slip)
3.125000E-02
6.250000E-02
1.250000E-01
2.500000E-01
5.000000E-01
1.000000E+00
2.000000E+00
4.000000E+00
8.000000E+00
Aspect Ratio coordinates (Grid cell dimension perpendicular to slip/Grid cell dimension parallel to slip)
1.600000E+01
8.000000E+00
4.000000E+00
2.000000E+00
1.000000E+00
5.000000E-01
2.500000E-01
1.250000E-01
6.250000E-02
Reynolds number coordinates (Calculated using particle diameter and freestream velocity)
1.562500E-02
3.125000E-02
6.250000E-02
1.250000E-01
2.500000E-01
5.000000E-01
1.000000E+00
2.000000E+00
4.000000E+00
8.000000E+00
1.600000E+01
3.200000E+01
6.400000E+01
1.280000E+02
Slip correction coefficient data
IDIA  IARY  IARZ  IREY            C1            C2            C3            C4            C5            C6            C7            C8
   1     2     2    13  2.189090E-01  2.224562E-01  2.760059E-01  2.805740E-01  2.760059E-01  2.805740E-01  3.779246E-01  3.843280E-01
   1     2     2    14  2.189267E-01  2.224593E-01  2.760342E-01  2.805802E-01  2.760342E-01  2.805802E-01  3.779717E-01  3.843350E-01
   1     2     3     1  2.418693E-01  2.479538E-01  3.117549E-01  3.211922E-01  3.071441E-01  3.133881E-01  4.338280E-01  4.450320E-01
   1     2     3     2  2.315219E-01  2.374308E-01  2.955434E-01  3.045845E-01  2.949083E-01  3.013435E-01  4.117876E-01  4.233136E-01
   1     2     3     3  2.246119E-01  2.311618E-01  2.853071E-01  2.952855E-01  2.872330E-01  2.947104E-01  3.984653E-01  4.118231E-01
   1     2     3     4  2.217131E-01  2.294180E-01  2.811665E-01  2.929157E-01  2.841151E-01  2.930614E-01  3.931758E-01  4.091562E-01
   1     2     3     5  2.207067E-01  2.295427E-01  2.797433E-01  2.932305E-01  2.830400E-01  2.933079E-01  3.913933E-01  4.097380E-01
   1     2     3     6  2.204795E-01  2.300189E-01  2.794376E-01  2.940105E-01  2.828938E-01  2.938669E-01  3.912115E-01  4.107901E-01
   1     2     3     7  2.208052E-01  2.304090E-01  2.799307E-01  2.946247E-01  2.834469E-01  2.943086E-01  3.922739E-01  4.116059E-01
   1     2     3     8  2.214031E-01  2.306549E-01  2.808116E-01  2.950134E-01  2.843070E-01  2.945940E-01  3.938575E-01  4.121365E-01
   1     2     3     9  2.219477E-01  2.307930E-01  2.816087E-01  2.952327E-01  2.850529E-01  2.947597E-01  3.952132E-01  4.124483E-01
   1     2     3    10  2.223187E-01  2.308652E-01  2.821505E-01  2.953486E-01  2.855439E-01  2.948528E-01  3.961069E-01  4.126184E-01
   1     2     3    11  2.225353E-01  2.309017E-01  2.824636E-01  2.954102E-01  2.858303E-01  2.949009E-01  3.966196E-01  4.127111E-01
   1     2     3    12  2.226528E-01  2.309188E-01  2.826360E-01  2.954389E-01  2.859815E-01  2.949252E-01  3.968961E-01  4.127568E-01
